,user_name,date,text,hashtags,Date,Time
508,Gilby,2022-10-12 03:38:39+00:00,It's SUMMER TIME! #TeamMarina #TeamMarinaSummers,"['TeamMarina', 'TeamMarinaSummers']",2022-10-12,03:38:39
509,Jane De Roxas,2022-10-12 03:32:36+00:00,Tonight is the finale of #DrageRacePH! 🥳 #TeamMarinaSummers,"['DrageRacePH', 'TeamMarinaSummers']",2022-10-12,03:32:36
510,nat,2022-10-12 03:21:48+00:00,"I am nervous, excited, and gonna miss seeing our queens on TV. CONDRAGUFUCKINGLATIONS, Season 1 Queens! All of you are trailblazers and heroes. We love you guys so much and thank you for a wonderful experience and making this season memorable. #DragRacePH #TeamMarinaSummers ✨",,2022-10-12,03:21:48
511,leo,2022-10-12 03:18:40+00:00,can't wait to see #TeamMarinaSummers to reign!!! #DragRacePh,"['TeamMarinaSummers', 'DragRacePh']",2022-10-12,03:18:40
512,🎀🌸Magical Ghorl🌸🎀,2022-10-12 03:11:19+00:00,buuut it’s the FINALE today #DragRacePh #TeamMarinaSummers https://t.co/1xs4QdtIJS,"['DragRacePh', 'TeamMarinaSummers']",2022-10-12,03:11:19
513,✨,2022-10-12 03:09:20+00:00,Goodluck miii @marinaxsummers 🥺🤞 #TeamMarinaSummers,['TeamMarinaSummers'],2022-10-12,03:09:20
514,AD 🌈,2022-10-12 03:04:57+00:00,"DRPH Finale naaaaa! Go my Filipina Winnah! #TeamMarinaSummers

#DragRacePh #DragRacePHFinale","['TeamMarinaSummers', 'DragRacePh', 'DragRacePHFinale']",2022-10-12,03:04:57
515,reirei #CONGRATSPPN,2022-10-12 02:54:55+00:00,"shet, watch party with my plastic friends latur xd @ezradayao_ @imjessila @MabelNogs 

#TeamMarinaSummers #TeamEvaLeQueen  
#TeamThunderPukeNation !!!!!!!!!!!!",['TeamMarinaSummers'],2022-10-12,02:54:55
516,your amethyst baby,2022-10-12 02:22:14+00:00,"i am ready to witness marina snatch the crown!👑

#TEAMMARINA #TEAMMARINASUMMERS #DragRacePhilippines #DragRacePH","['TEAMMARINA', 'TEAMMARINASUMMERS', 'DragRacePhilippines', 'DragRacePH']",2022-10-12,02:22:14
517,rachel sabando MD,2022-10-12 02:12:38+00:00,"I may or may not flood your timelines today with #DragRacePH tweets 🤪 

Jk ofc i will hehe sorry not sorry. #TeamMarina #TeamMarinaSummers","['DragRacePH', 'TeamMarina', 'TeamMarinaSummers']",2022-10-12,02:12:38
518,Stan #AlicentApologist,2022-10-12 02:11:44+00:00,Jorgeous’ 3rd reincarnation will win Drag Race Philippines tonight #TeamMarinaSummers,['TeamMarinaSummers'],2022-10-12,02:11:44
519,donut🐘,2022-10-12 02:08:55+00:00,"@marinaxsummers good luck, marina!! can’t wait to see u perform. win for the jorgeous multiverse! #TeamMarinaSummers 🌈♥️",['TeamMarinaSummers'],2022-10-12,02:08:55
520,rachel sabando MD,2022-10-12 02:07:21+00:00,"Really rooting for @marinaxsummers victory! As a palautos, please just give her the crown already!!! 👑☀️ 

 #TeamMarina #TeamMarinaSummers","['TeamMarina', 'TeamMarinaSummers']",2022-10-12,02:07:21
