,user_name,date,text,hashtags,Date,Time
107,Da,2022-10-12 14:13:36+00:00,"i was also rooting for Marina pero pota I AM NOT TAKING ANY PPN SLANDER!!! 😤 deserve nya to!! 💫❤️

let’s celebrate all queens because this is their moment! 🌈 support local drag communities &amp; #SOGIEEqualityNow!

#TeamMarina #TeamPreciousPaulaNicole #DragRacePHfinale #DragRacePH",,2022-10-12,14:13:36
108,lookitsace | RainbowTalks.Ph,2022-10-12 14:13:32+00:00,"Con-drag-gulations @PreciousPaulaN 
Dasurvvv! #DragRacePH #TeamPreciousPaulaNicole","['DragRacePH', 'TeamPreciousPaulaNicole']",2022-10-12,14:13:32
109,rhy.,2022-10-12 14:13:14+00:00,WELL DESERVED CROWN!!! CONGRATS PRECIOUS!!!!! #TeamPreciousPaulaNicole @PreciousPaulaN see u on sunday at baksilog!!!!!! 😭😭😭😭👑👑👑 https://t.co/tsoLAXA5eQ,['TeamPreciousPaulaNicole'],2022-10-12,14:13:14
110,｡,2022-10-12 14:11:54+00:00,since day one 💕✨ love you !! @PreciousPaulaN #TeamPreciousPaulaNicole https://t.co/HO9Zy1KhqE,['TeamPreciousPaulaNicole'],2022-10-12,14:11:54
111,Anna🌸,2022-10-12 14:07:38+00:00,"Omggggggg so happy.  Dasssuuuurrrvvv.  
#TeamPreciousPaulaNicole #DragRacePH https://t.co/ZRRiRYcE0N https://t.co/a2vS2Icz5O","['TeamPreciousPaulaNicole', 'DragRacePH']",2022-10-12,14:07:38
114,MIDNIGHTS 🧣,2022-10-12 14:06:31+00:00,"""Precious spinning very beautiful her outfit works perfectly for the dance moves... she is everything. #DragRacePHfinale #TeamPreciousPaulaNicole https://t.co/dhuYVoEcyu",,2022-10-12,14:06:31
117,Amidalai #AngatBuhay,2022-10-12 14:06:11+00:00,"Precious &amp; Marina were my top 2 &amp; I thought Marina would win based on the edits. So glad to be proven wrong bec I'm #TeamPreciousPaulaNicole from the start. She's consistently good (like Marina) throughout &amp; owned that finale. Congrats, @PreciousPaulaN! 
#DragRacePHfinale https://t.co/NoFt0kQcCp",,2022-10-12,14:06:11
119,saint j,2022-10-12 14:04:55+00:00,"congrats, ppn! the 31m is so proud of u. unity 👊🏽 #TeamPreciousPaulaNicole #DragRacePHfinale https://t.co/5PUACr3RgH","['TeamPreciousPaulaNicole', 'DragRacePHfinale']",2022-10-12,14:04:55
136,Anna🌸,2022-10-12 14:02:14+00:00,Super deserve ng top 2!!! 👏 Just how I imagined it 😭 Precious and Marina💖 #DragRacePH #TeamPreciousPaulaNicole,"['DragRacePH', 'TeamPreciousPaulaNicole']",2022-10-12,14:02:14
137,Michelle Roldan,2022-10-12 14:02:13+00:00,"She's been one of my bets in #DragRacePH since the first episode kaya naman congrats, @PreciousPaulaN 🥳 #DragRacePHfinale #DragRacePHfinale #TeamPreciousPaulaNicole",['DragRacePH'],2022-10-12,14:02:13
